Species_num,MBS,VSN,CSN,GSN,FPNr,SDLr,SCSr,SCGr,SMr,MTr,PA,PTMr,aNDSr,SVL,TRL,HL,PL,ESD,HW,HH,MO,FFL,HFL
2,50,22,9,23,16,22,6,10,2,2,1,5,2.3,54,26,18.1,12.2,6.6,8.1,4.1,10.2,17.9,30
2,50,22,10,22,17,22,5,9,1,2,1,4,2.3,54,27.6,17.2,12.4,6.8,8.1,4.2,13,17.2,30
2,50,22,9,25,18,23,6,12,1,2,2,4,2,57,29,19.5,12.8,6.2,8.9,4.8,11,17.8,31.2
2,53,23,9,23,19,27,6,11,1,2,1,4,2,55,28,18,12.5,6.5,8.4,4.6,11.5,17.8,30.6
2,47,24,10,24,17,23,5,9,1,2,2,5,2,54,29,18.6,12.5,6.2,8,4.7,12,18.2,29.5
2,49,23,9,22,17,21,5,11,1,2,1,4,2.2,57,31.8,18,12.8,7.2,8.2,4.8,11.2,17.8,30
2,51,25,8,22,18,24,6,12,2,2,1,3,2,54.5,26.8,19.5,13,6,8.2,4.6,11.5,17,31.2
2,47,24,9,21,16,22,6,10,1,2,1,4,2.2,51.5,27.8,16,11,5.1,7.5,4.5,10,17.2,27.8
2,46,23,10,24,17,25,6,10,0,1,1,4,2.2,52,27,16.5,11.5,6,7.7,4.5,9.8,16,28.8
2,49,21,9,24,17,24,4,10,0,1,1,5,2,58,28.2,19.9,13,6.8,8.2,4.9,12.5,18,30.5
2,52,24,11,25,17,25,5,6,1,2,1,4,2.3,57.5,29,19.8,13.3,6.8,8.8,4.9,11.5,17,31.5
2,49,22,9,24,17,25,6,11,2,2,2,5,2.1,55.8,28,18.8,12.6,7.2,8.2,4.6,11.5,18.2,31
2,53,22,8,25,16,24,6,12,2,2,1,4,2.3,54,26.2,19.8,13.4,6.4,9.2,4.9,13,17.8,30.5
2,54,24,9,28,20,24,6,11,1,2,2,4,2.5,56,28,19.6,13.2,7,8,4.9,10.7,18.3,27
2,50,24,8,24,15,24,4,12,1,1,1,4,2.1,54.7,28.6,18.4,12.8,6.8,7.3,5.2,11.3,18.7,26.8
2,47,22,9,24,19,26,6,12,1,2,1,6,2.3,55,27.9,18.6,12.3,6.2,8.4,4.3,9.1,17.3,28.2
2,51,23,9,25,18,23,6,11,1,2,1,3,2.5,55.2,27.1,18.6,13.9,6,7.7,4.5,9.9,18.2,29
2,47,24,9,22,16,24,5,10,2,3,1,3,2,45.2,21.6,15,10,5,6.2,3.1,9,15,24.3
2,48,24,9,25,18,22,4,10,1,2,1,4,2.1,56.8,31.7,18.2,12.6,6.8,8.2,4.5,10.5,18.4,30.5
2,50,23,9,25,18,24,6,12,2,2,2,7,2,57.8,30.7,19,12.8,6.8,8,5,12,17.5,32.4
2,51,21,10,24,18,24,5,9,1,1,1,5,2,53.6,26,17.5,12.8,6.5,8,5,12,17.4,31
2,51,22,9,26,18,25,6,12,1,2,1,5,2.3,49.3,24,16.6,11.2,6,7,4.1,9,18,29.8
2,49,25,10,25,21,26,6,12,1,2,1,4,2.1,53.4,27.2,18.5,12.2,6.3,8.1,4.3,10.2,18.2,29.2
2,50,22,9,21,15,22,4,10,1,2,2,4,2.2,52.2,26.8,18,12.2,6.1,7.1,4,10.5,17.5,26
2,53,21,10,23,16,26,6,14,2,2,1,4,2,51,25.7,17,11.8,6,7.2,4,10,17.7,30
2,49,23,10,25,18,23,6,12,0,1,1,3,2,51,25,17.2,11.8,6.2,7.5,4.1,10.4,17.4,29
2,47,24,9,26,15,24,6,12,2,2,1,4,2.3,52.8,27.5,17,11.8,6,7.8,3.8,10.2,18,29.5
2,47,23,9,24,20,26,4,10,0,1,1,4,2.6,56.6,28.3,19.5,13.9,6.2,8.2,4.2,12.8,18.8,31
2,48,24,9,24,17,25,5,12,2,2,2,5,2,49.5,24.5,16.2,11.2,5,7.1,4,10.2,17,27.5
2,51,24,9,27,19,26,5,12,1,2,2,4,2,39.1,19.4,14,9.5,5.1,6.4,3,9.1,12,21.9
2,53,23,9,25,18,26,5,10,1,2,1,3,2.4,39.3,20,14.2,9.9,5.1,5.5,3.5,7.9,14.1,21.3
2,53,25,9,22,17,25,4,10,2,4,1,3,2.5,56.7,30.5,19.4,12.8,6.7,8.2,5.1,10.3,18.6,27.8
2,52,25,8,24,16,20,6,10,1,1,1,4,2.7,47.5,23.8,16.1,11.3,6.1,7.6,5.1,9.4,16.2,25.5
2,52,23,10,23,19,25,6,11,1,3,1,5,2.3,52.3,28.3,17,12.1,6.3,8.3,5.7,10,17,26.6
2,52,25,8,25,17,26,6,12,2,2,1,5,2.8,54.2,30.2,17.3,12,6.4,7.9,5.4,10.5,17.2,28.8
2,51,25,8,24,17,23,6,12,1,2,1,4,2.8,49.7,27.9,16.6,11.6,6,7.4,4.7,9.7,15.8,25.5
2,48,24,9,28,17,22,6,12,2,3,1,5,2.7,53.6,31.3,18.6,12.3,6,8.3,5.5,12,17.3,29
2,49,27,7,26,17,24,6,10,2,3,1,5,3,54.7,28.4,18.6,12.2,6.4,8.7,5.5,10.6,18.1,27.9
2,55,24,8,26,17,22,6,10,1,1,1,4,2.8,54.8,30.7,18.6,12.2,6,8.3,5.5,11.4,17.1,28
2,52,24,9,25,18,22,6,12,2,4,1,2,2.4,52,29.4,17.9,11.7,6.3,8,5.1,10.1,17,28.2
3,46,25,8,28,15,21,7,10,2,1,2,3,3,54,31,18.8,12.5,8.1,7.4,5.5,10.5,17.8,29
3,42,26,8,21,15,21,6,8,1,1,2,4,2.2,56,27.5,20,13.1,8.9,7.1,5.4,10.7,21.2,32.5
3,45,23,7,21,15,18,6,11,1,2,2,4,3.1,53,27.3,18.3,12.4,8,7.3,5.2,9.9,20.4,32
3,47,26,9,24,17,19,5,11,0,0,2,4,3,56,28.4,18.8,13,8.6,8,5.5,10.9,19.9,29.3
3,47,26,7,27,17,18,7,12,0,0,2,3,2.7,53.5,29.2,18.2,12,7.8,7.7,5.4,9.7,19.7,28.9
3,44,24,5,24,17,19,6,9,0,0,3,4,3,52,25.4,17.3,11.7,7.8,6.8,5.5,10,19,29.8
3,48,25,8,25,17,19,6,10,2,2,2,3,3,53.5,27,18.2,12.6,8.3,7.3,5.3,10,20.9,30
3,49,25,8,29,18,22,5,10,0,0,2,5,2.9,54,28.6,18.7,12.5,18.5,7.7,5.3,10.5,20.7,30.2
3,42,23,7,20,17,18,6,11,2,2,2,3,3,54,28.8,19.8,12.4,8,7.3,5.6,10,19.3,30.5
3,49,23,8,21,14,17,6,10,1,2,2,4,2.7,53.5,27,18.4,12.3,8,7.3,5,10.2,21,30.3
3,50,24,8,25,14,19,6,10,1,2,2,3,2.7,61,30,21.2,14,9.4,8.6,5.8,11.2,20.5,31
3,50,24,9,25,17,19,8,12,0,0,2,4,3,56,29.8,18.5,12.1,8.3,7.4,5.1,10.1,21.1,30.8
3,47,21,8,26,13,20,5,12,0,0,2,3,3,56,30.5,19.1,12.3,8.5,8,5,9.9,18.5,28.7
3,45,24,9,27,14,19,5,7,2,3,2,4,2.7,56,27.5,19.7,13,8.3,7.4,5.3,10.2,18.5,29.7
3,51,23,8,21,16,20,5,7,2,4,2,5,2.8,62,31.4,20.9,13.6,8.8,7.6,5.3,11,21.2,31.8
3,46,23,6,23,17,18,5,8,3,2,2,3,2.4,56.5,30.5,19.3,13,8.9,7.6,5.2,9.5,19.3,29.5
3,49,23,7,22,16,21,6,9,2,2,2,4,2.8,54.5,26,19,12.2,8,8.1,5,9.2,20.2,26.5
3,51,26,6,27,18,20,6,12,1,2,2,3,2.6,56,31.2,17.2,12.6,8.4,7.3,4.9,10.3,19.5,31
3,49,23,7,23,14,21,5,12,1,2,2,4,2.9,58,29.6,18.7,13.4,8.9,8.2,5.3,10.2,20.5,28.8
3,49,23,9,24,14,19,6,8,2,4,2,5,3.2,57,28.2,19.2,12.9,8.5,7.6,5.3,10.2,19.7,30.3
3,47,25,8,23,13,23,5,11,1,1,2,4,2.9,59.5,31.2,19,13,8.5,7.5,5.2,10.2,21.2,31.5
3,41,24,7,26,15,19,6,7,1,2,2,4,2.7,55,29.1,18.7,12,8.3,7.6,5.5,8.7,20.2,30.4
