Species_num,MBS,VSN,CSN,GSN,FPNr,SDLr,SCSr,SCGr,SMr,MTr,PA,PTMr,aNDSr,SVL,TRL,HL,PL,ESD,HW,HH,MO,FFL,HFL
4,48,26,9,31,18,26,6,6,2,2,2,1,2.9,69.5,39.4,20.4,13.8,9.1,8.9,6.3,9.5,21.6,34.9
4,49,24,10,29,19,25,6,6,2,2,1,1,2.8,50,25.9,17.2,11.7,7.7,7.6,5,8.4,16.5,28.5
4,50,28,10,33,20,24,7,4,1,3,3,1,2.8,73,41.5,21.2,14.5,8.7,9.2,6.3,10.5,23.3,34.6
4,45,24,8,28,18,23,6,8,1,2,2,1,2.7,70.5,41.8,21.7,14.2,9.3,8.5,6.2,11.4,22,36
4,45,27,10,32,18,25,6,4,1,2,2,1,2.6,67.5,36.4,20.8,13.7,8.7,8.4,5.8,10.6,23.6,34.2
4,47,25,9,30,18,24,6,4,1,2,2,1,2.5,73,41.5,20.7,14.2,9,9.5,6.2,11.4,22.3,35.7
4,46,26,10,30,18,24,6,4,1,2,2,2,2,67,38,20.1,13.8,8.4,8.5,6.3,9.6,21.9,32.9
4,50,25,10,31,16,25,6,5,2,3,2,1,2.8,70,40,21.8,14.4,9,9.4,6.4,10,22.5,33
4,49,23,10,31,19,23,6,6,1,2,1,1,2.5,56.5,28.6,20.3,13.8,9,9,6.4,9.8,22.4,35.5
3,43,26,7,22,12,23,6,6,0,1,2,2,2.3,54,29.3,17.5,11.2,6.9,6.9,4.8,7.6,16.5,26.8
4,47,25,9,30,18,25,7,3,1,3,2,1,2.3,74,38.9,14.9,9.2,10.3,9.4,6.8,11.4,23,37.1
4,49,24,8,31,20,24,6,5,2,2,1,1,2.6,55,28.7,20,12.9,8.3,8.6,5.8,8.4,21.2,32.7
3,42,22,7,22,15,28,5,6,1,1,3,4,2.8,48,27.9,16.5,11,7.8,6.4,4.6,9,18.1,27.2
4,47,26,10,30,18,24,5,6,1,2,2,1,2.7,70,39.3,21.4,14.2,8.7,8.8,5.6,9.4,21.8,30.5
4,51,27,8,29,18,25,6,4,2,2,2,1,2.6,74,42.6,21.6,14.4,9.2,9.6,6.4,10.5,22.9,31.1
4,47,25,9,28,18,25,5,7,1,2,2,1,2.7,70,37.2,20.8,14,8.7,8.1,6.4,9.5,22.8,34.2
4,48,25,9,31,20,24,6,2,1,2,1,1,2.8,72,40.6,21.6,14.3,9,9.2,6.5,10,23.4,35.5
4,49,24,8,33,20,27,6,4,2,2,1,1,2.9,53.5,27.6,17.7,12.1,8,7.9,5.4,9.3,19.6,31.5
4,45,25,9,28,18,23,6,3,1,3,2,1,2.8,55,30.9,18.9,11.8,7.5,7.5,5.3,8.5,19.3,31.3
4,47,26,8,31,18,25,6,7,1,2,2,1,2.8,68,40.9,22.2,13.9,9,8.8,6.2,10.1,22.3,35.4
4,52,25,11,30,20,26,6,4,2,2,1,1,2.5,54,28,19.8,13,8.2,8.3,5.9,9.7,20,32.3
3,43,27,6,24,14,25,7,12,0,0,2,1,2.4,59.5,31.8,18.8,11.9,8,7.7,5.3,8.3,18.3,28.7
3,43,24,7,22,14,25,6,5,1,2,2,3,2.8,56,32.3,17.6,11.6,7.7,7.4,5.2,8.3,18.2,28.3
3,41,25,8,20,16,25,6,8,0,0,2,4,2.6,50,29,15.6,10.7,7,6.3,4.8,7.7,17.6,27.5
3,46,24,9,24,16,27,6,6,1,1,2,4,2.2,57,32.1,18.1,11.7,7.5,7.3,5.3,9.2,19,26.7
3,45,25,7,23,13,23,6,10,0,0,3,4,2.7,58.5,32.7,17.9,11.6,7.3,7,5,7.9,16.9,27
3,42,25,7,21,15,25,5,9,0,0,3,4,3,50,30.6,17.5,10.9,7.1,6.7,4.7,8.1,17.9,27.3
3,46,26,9,25,15,24,6,11,0,0,2,2,2.7,55,32.6,18.6,11.3,7.2,7,4.4,7.8,17.4,25.9
3,40,26,8,23,16,27,6,8,1,2,2,3,2.8,56.5,31.4,16.6,11.6,7.3,7.2,4.7,8.2,18.9,28.2
